Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-40011125,Early Learning Centre Oakleigh South,PR-40010453,Imagine Education Early Learning Centres No. 3 Pty Ltd as Trustee for Imagine Education Early Learning Centres No.3 Unit Trust,Private for profit,VIC,Centre-Based Care,2018/1/5,1066 Centre Rd,,OAKLEIGH SOUTH,3167,VIC,admin@elcoakleighsouth.com.au,395797007,PO Box 952,SOUTHPORT BC,Working Towards NQS
SE-40011134,Gumnuts OSHC Maffra,PR-00002099,Gumnuts Early Learning Centre Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2018/1/25,Maffra Primary School,22-28 Church St,MAFFRA,3860,VIC,gumnutselc@netspace.net.au,351446952,305 Raglan Street,SALE,Meeting NQS
SE-40011174,Alfred Street Early Learning Centre,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/1/24,33 Alfred Street,,NOBLE PARK,3174,VIC,alfredstreet@ecms.org.au,427489855,PO Box 182,NORTHCOTE,Meeting NQS
SE-40011175,Woodland Early Learning Centre,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/2/6,St Thomas More College,313 Canadian Bay Rd,MOUNT ELIZA,3930,VIC,woodland@ecms.org.au,397088444,PO Box 182,NORTHCOTE,Working Towards NQS
SE-40011191,Yarrawonga College P-12 OSHC,PR-00002635,Yarrawonga College P-12 School Council,State/Territory government schools,VIC,Centre-Based Care,2018/1/24,Gilmore Street,,YARRAWONGA,3730,VIC,oshc@yarrawongaps.vic.edu.au,357443104,2 Tom Street,YARRAWONGA,Meeting NQS
SE-40011202,Community Early-years Childcare - Chiltern LDC,PR-00001440,Albury Wodonga Community College Limited,Private not for profit other organisations,VIC,Centre-Based Care,2018/1/29,50-52 Main St,,CHILTERN,3683,VIC,reception@awcc.edu.au,,PO Box 129,WODONGA,Meeting NQS
SE-40011316,Camp Australia - Thomastown Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2018/1/22,6 Spring St,,THOMASTOWN,3074,VIC,opsadmin@campaustralia.com.au,418744192,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-40011333,Bass Valley Childcare Centre,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2018/1/25,60 Corinella Road,,CORINELLA,3984,VIC,bassvalleycc@bestchance.org.au,356033408,U A2  254 Canterbury Rd,BAYSWATER NORTH,Meeting NQS
SE-40011355,YMCA Diggers Rest Early Learning Centre,PR-00002331,Young Mens Christian Association Whittlesea Inc,Private not for profit community managed,VIC,Centre-Based Care,2017/12/8,10 Farm Rd,,DIGGERS REST,3427,VIC,geny.zambello@ymca.org.au,397400394,"25,  797 Plenty Rd",SOUTH MORANG,Meeting NQS
SE-40011364,Camp Australia - Christ the King Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2018/1/22,79 Wilsons Rd,,NEWCOMB,3219,VIC,opsadmin@campaustralia.com.au,438537651,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-40011375,Journey Early Learning Centre - Wallan,PR-40013429,Kensington ELC Pty Ltd ATF Kensington ELC Unit Trust,Private for profit,VIC,Centre-Based Care,2018/3/20,156 Wellington Street,,WALLAN,3756,VIC,wallan@journey.edu.au,390050923,PO Box 2048,BORONIA PARK,Meeting NQS
SE-40011398,Mirboo North PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/1/25,Mirboo North Primary School,1 Balook St,MIRBOO NORTH,3871,VIC,soniaz@theircare.com.au,405614862,Level 8 1341,CHADSTONE,Meeting NQS
SE-40011405,Swinburne Holiday Program CommunityOSH,PR-40011323,COMMUNITYOSH PTY LTD,Private for profit,VIC,Centre-Based Care,2018/1/12,AD108 in AD Building,John Street,HAWTHORN,3122,VIC,admin@commosh.net.au,,PO Box 265,RICHMOND,Meeting NQS
SE-40011415,INSPIRE EARLY LEARNING JOURNEY PRESTON,PR-40012975,INSPIRE O2 EDUCATION HOLDING GROUP PTY LTD,Private not for profit other organisations,VIC,Centre-Based Care,2018/5/15,237-239 Murray Rd,,PRESTON,3072,VIC,eleinnaa@inspireo2.com.au,427123000,280-282 Highbury Rd,MOUNT WAVERLEY,Meeting NQS
SE-40011434,Kelly Club Lisieux Catholic Primary School,PR-40002637,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Private for profit,VIC,Centre-Based Care,2018/1/22,90 South Beach Road,,TORQUAY,3228,VIC,lisieux@kellycluboshc.com.au,401021581,PO Box 71,MOONEE VALE,Meeting NQS
SE-40011464,Livingston Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2018/4/13,31,Parkhurst Drive,CRANBOURNE EAST,3977,VIC,LivingstonKindergarten@casey.vic.gov.au,,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-40011509,Big Childcare - Tarneit Rise PS OSHC,PR-40004334,Big Childcare Pty Ltd ATF Big Childcare Unit Trust,Private for profit,VIC,Centre-Based Care,2018/1/18,Tarneit West Primary School,51-71 Hummingbird Boulevard,TARNEIT,3029,VIC,tarneitrise@bigchildcare.com,386829400,PO Box 343,NIDDRIE,Meeting NQS
SE-40011544,Wollert One Early Education,PR-40013224,WOLLERT ONE EARLY EDUCATION GROUP PTY LTD,Private for profit,VIC,Centre-Based Care,2018/1/24,230 Harvest Home Road,,WOLLERT,3750,VIC,director.wollert@onelearn.com.au,390887160,Level 4,SOUTH MELBOURNE,Working Towards NQS
SE-40011569,Chabad Youth Holiday Program - Harrietville,PR-00001420,Chabad Institution of Australia Inc,Private not for profit community managed,VIC,Centre-Based Care,2017/12/6,22 Bon Accord Track,,HARRIETVILLE,3741,VIC,mk@chabadyouth.org,408740011,88 Hotham Street,ST KILDA EAST,Exceeding NQS
SE-40011589,Tarneit North Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2018/4/13,2-28 Goddard Street,,TARNEIT NORTH,3029,VIC,tarneitnorth@bestchance.org.au,385625153,U A2  254 Canterbury Rd,BAYSWATER NORTH,Meeting NQS
SE-40011590,Wyndham Vale Primary School Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2018/4/13,85 Ribblesdale Avenue,,WYNDHAM VALE,3024,VIC,wyndhamvaleprimary@bestchance.org.au,429631056,U A2  254 Canterbury Rd,BAYSWATER NORTH,Meeting NQS
SE-40011611,Lara Lake PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/1/25,89 Forest Road,,LARA,3212,VIC,soniaz@theircare.com.au,405614862,Level 8 1341,CHADSTONE,Meeting NQS
SE-40011642,South Melbourne OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2018/1/29,129 Ferrars St,,SOUTHBANK,3006,VIC,jagvicsa@junioradventuresgroup.com.au,448125999,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-40011652,Elysium OSHC - Aldercourt,PR-40017143,ELYSIUM BRANDS PTY. LTD.,Private for profit,VIC,Centre-Based Care,2018/1/24,Aldercourt Primary School,Silver Avenue,FRANKSTON NORTH,3201,VIC,matt@elysiumoshc.com.au,,83 Strong Drive,HAMPTON PARK,Working Towards NQS
SE-40011654,Elysium OSHC - Australis,PR-40017143,ELYSIUM BRANDS PTY. LTD.,Private for profit,VIC,Centre-Based Care,2018/1/25,20 McCormicks Rd,,SKYE,3977,VIC,matt@elysiumoshc.com.au,,83 Strong Drive,HAMPTON PARK,Working Towards NQS
SE-40011658,Happy Turtle Childcare Centre,PR-40010973,Happy Turtle Childcare Centre Pty Ltd ATF Happy Turtle Childcare Centre Family Trust,Private for profit,VIC,Centre-Based Care,2018/3/20,528 Ontario Ave,,MILDURA,3500,VIC,cathymarziano3@gmail.com,350212933,6 Philippa Cres,MILDURA,Working Towards NQS
SE-40011664,Rhonda Davis Kindergarten,PR-00001683,Moonee Valley City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2018/2/2,54 Lake St,,AVONDALE HEIGHTS,3034,VIC,kindergarten@mvcc.vic.gov.au,,PO Box 126,MOONEE PONDS,Exceeding NQS
SE-40011743,Schools OUT OSHC (Newham),PR-40006459,Katie Bruce,Private for profit,VIC,Centre-Based Care,2018/1/25,1271 Rochford Rd,,NEWHAM,3442,VIC,schoolsout@mrshp.net,402754001,28 Gyro Cl,RIDDELLS CREEK,Meeting NQS
SE-40011747,Bridgewood PS OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2018/1/29,115 Bridge Rd,,OFFICER,3809,VIC,jagvicsa@junioradventuresgroup.com.au,429535574,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-40011781,Greenwood Scoresby,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2018/6/14,40 Lakeview Drive,,SCORESBY,3179,VIC,scoresby@greenwood.com.au,397637489,PO Box 515,VARSITY LAKES,Meeting NQS
SE-40011803,Horsham YMCA OSHC,PR-00001946,Victorian YMCA Community Programming Pty Ltd,Private not for profit other organisations,VIC,Centre-Based Care,2018/1/25,59 Dimboola Rd,,HORSHAM,3400,VIC,childrenservices.horsham@YMCA.ORG.AU,353822576,PO Box 833,PARKVILLE,Meeting NQS
SE-40011844,Langwarrin Community Centre OSHC - St Jude's,PR-00001626,Langwarrin Community Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/3/2,30 Warrandyte Rd,,LANGWARRIN,3910,VIC,sam.r@langwarrincc.org.au,397897653,2 Lang Road,LANGWARRIN,Meeting NQS
SE-40011849,Buninyong Childcare Centre,PR-40010982,Miles of Smilez Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/3/27,311 Learmonth Street,,BUNINYONG,3357,VIC,geet@buninyongchildcarecentre.com.au,353412641,42 Garden View Dr,TARNEIT,Working Towards NQS
SE-40011867,Greenwood Rowville,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2018/8/9,1028 Wellington Road,,ROWVILLE,3178,VIC,rowville@greenwood.com.au,387401140,PO Box 515,VARSITY LAKES,Meeting NQS
SE-40011879,Cool Frogs Wodonga,PR-40013145,Cool Frogs 1 Pty Ltd as Trustee for Cool Frogs 1 Trust,Private for profit,VIC,Centre-Based Care,2018/3/28,56 Daintree Way,,WODONGA,3690,VIC,beau@coolfrogsece.com.au,414747457,2 Braemar Street,SOUTH TOOWOOMBA,Meeting NQS
SE-40011883,Derinya PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/1/24,1 Overport Rd,,FRANKSTON,3199,VIC,derinya@theircare.com.au,405614862,Level 8 1341,CHADSTONE,Meeting NQS
SE-40011898,Botanic Ridge Interim Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2018/4/24,Devon Meadows Primary School,50 Worthing Rd,DEVON MEADOWS,3977,VIC,BotanicRidgeInterimKindergarten@casey.vic.gov.au,397055200,PO Box 1000,NARRE WARREN,Meeting NQS
SE-40011934,Amiga Montessori Cranbourne West,PR-40010110,Alamanda Montessori Centre Pty Ltd ATF Alamanda Montessori Centre Trust,Private for profit,VIC,Centre-Based Care,2018/5/10,85 Everlasting Boulevard,,CRANBOURNE WEST,3977,VIC,cranbournewest@amiga-montessori.com.au,390024011,39 Elmwood Cres,GLEN WAVERLEY,Meeting NQS
SE-40011939,KingKids Early learning Centre and Kindergarten Mooroolbark,PR-40020125,KingKids Early Learning Centre and Kindergarten Mooroolbark Pty Ltd ATF KingKids Early Learning Centre and Kindergarten Mooroolbark Unit Trust,Private for profit,VIC,Centre-Based Care,2018/7/17,101 Manchester Rd,,MOOROOLBARK,3138,VIC,jo@kingkids.com.au,397273806,U 2  5 Enterprise Dr,ROWVILLE,Meeting NQS
SE-40011945,Team Holiday - Albert Park Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/3/7,Bridport Street,,ALBERT PARK,3206,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-40011965,Sandringham Children’s Centre,PR-40015004,Natwyn Investments Pty Ltd ATF Natwyn Investment Trust,Private for profit,VIC,Centre-Based Care,2018/5/21,163 Bay Rd,,SANDRINGHAM,3191,VIC,carmel@villabambini.com.au,395987700,163 Bay Rd,SANDRINGHAM,Meeting NQS
SE-40011987,Nino Early Learning Adventures - Ashburton,PR-40006995,CHILDBIZ OPERATIONS PTY LTD,Private for profit,VIC,Centre-Based Care,2019/2/12,356 Warrigal Rd,,ASHBURTON,3147,VIC,melinda@ninoELA.com.au,394216755,PO Box 5145,BURNLEY,Meeting NQS
SE-40012023,Story House Early Learning Epping,PR-40011664,Story House Development Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/4/9,329a Harvest Home Road,,EPPING,3076,VIC,epping@shel.edu.au,394081586,57 Old Cleveland Rd,STONES CORNER,Working Towards NQS
SE-40012053,Noriter Bilingual Early Learning,PR-40009402,Kim & Forday Pty Ltd ATF Forday Family Trust,Private for profit,VIC,Centre-Based Care,2018/3/2,478 Haughton Road,,CLAYTON SOUTH,3169,VIC,admin@noriterearlylearning.com.au,395400333,8 Nestan Ct,GLEN WAVERLEY,Working Towards NQS
SE-40012145,Knox Children and Family Centre (Wantirna South),PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2019/1/15,81 Argyle Way,,WANTIRNA SOUTH,3152,VIC,sarah.kleine@knox.vic.gov.au,398379600,511 Burwood Highway,WANTIRNA SOUTH,Meeting NQS
SE-40012194,Paisley Park Early Learning Centre Bundoora,PR-40009465,Paisley Park Early Learning Centres (No.3) Pty Ltd ATF Paisley Park ELC (No.3) Unit Trust,Private for profit,VIC,Centre-Based Care,2018/5/11,18-22 Main Drive,,BUNDOORA,3083,VIC,bundoora@paisleypark.com.au,1800724753,PO Box 7007,BAULKHAM HILLS,Meeting NQS
SE-40012206,Youth Leadership Victoria St Richard's,PR-00002783,Youth Leadership Victoria Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/4/13,672 Mt Dandenong Rd,,KILSYTH,3137,VIC,rita@ylv.com.au,,PO Box 1144,DANDENONG,Meeting NQS
SE-40012225,Marymede Early Learning Centre,PR-40013468,MARYMEDE FOUNDATION LIMITED,Private not for profit other organisations,VIC,Centre-Based Care,2018/5/16,60 Williamsons Road,,SOUTH MORANG,3752,VIC,kindergarten@marymede.vic.edu.au,394079000,60 Williamsons Road,SOUTH MORANG,Exceeding NQS
SE-40012275,Knox Children and Family Centre (Bayswater),PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2019/4/16,41 Phyllis Street,,BAYSWATER,3153,VIC,lisa.knight@knox.vic.gov.au,397389700,511 Burwood Highway,WANTIRNA SOUTH,Meeting NQS
SE-40012283,Greythorn Early Childhood Centre,PR-00002026,Greythorn Early Childhood Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/8/2,2 Centre Way,,BALWYN NORTH,3104,VIC,info@greythornecc.org.au,398573793,4 Trentwood Avenue,BALWYN NORTH,Meeting NQS
SE-40012284,Explorers Early Learning - Surrey Hills,PR-40013325,SLK TRADING SURREY HILLS PTY LTD,Private for profit,VIC,Centre-Based Care,2019/2/12,1 Stanley Terrace,,SURREY HILLS,3127,VIC,alicia.holmes@eel.com.au,392483000,EXPLORERS EARLY LEARNING,ARMADALE,Meeting NQS
SE-40012298,Chairo Christian School Kindergarten,PR-00002059,Warragul District Parent Controlled Christian School Association Inc,Independent schools,VIC,Centre-Based Care,2019/3/4,101 Horn Street,,LEONGATHA,3953,VIC,wlowe@chairo.vic.edu.au,356254600,PO BOX 93,DROUIN,Meeting NQS
SE-40012325,Camp Australia - St Joseph’s Primary School - Warragul OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2018/4/13,167 Burke Street,,WARRAGUL,3820,VIC,opsadmin@campaustralia.com.au,402192591,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-40012329,Buninyong Primary School,PR-40014815,Buninyong Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2018/5/28,202 Simpson Street,,BUNINYONG,3357,VIC,oshc@buninyongps.vic.edu.au,353413560,202 Simpson Street,BUNINYONG,Working Towards NQS
SE-40012363,Great Beginnings Curlewis,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2018/6/6,148 - 156 Jetty Road,,CURLEWIS,3222,VIC,curlewis@greatbeginnings.com.au,390887900,PO Box 515,VARSITY LAKES,Working Towards NQS
SE-40012368,The Village Early Learning Centre,PR-40016889,VILLAGE ELC PTY LTD ATF Ferguson Family Trust 4,Private for profit,VIC,Centre-Based Care,2018/7/30,11 Sandringham Road,,SANDRINGHAM,3191,VIC,hello@villageelc.com.au,395986060,14 Wave St,HAMPTON,Meeting NQS
SE-40012371,Kilmore Out of School Hours Care,PR-00002364,Kekeco Childcare Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/7/25,St. Patricks Parish Hall,37 Sutherland Street,KILMORE,3764,VIC,kilmoreoshc@kekeco.com.au,357811300,1 Kearney Lane,TEMPLESTOWE,Exceeding NQS
SE-40012378,Guardian Childcare & Education Preston West,PR-40012616,SLK TRADING MURRAY ROAD PTY LTD,Private for profit,VIC,Centre-Based Care,2018/5/30,391 Murray Road,,PRESTON,3072,VIC,prestonwest@guardian.edu.au,390690545,PO Box 20,BONDI JUNCTION,Meeting NQS
SE-40012475,Elysium OSHC - Baxter,PR-40017143,ELYSIUM BRANDS PTY. LTD.,Private for profit,VIC,Centre-Based Care,2018/4/13,Baxter Primary School,120 Grant Rd,BAXTER,3911,VIC,baxter@elysiumoshc.com.au,406877787,83 Strong Drive,HAMPTON PARK,Working Towards NQS
SE-40012512,YMCA Ballarat - Bacchus Marsh Grammar,PR-00002502,Young Mens Christian Association Of Ballarat Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/6/8,Bacchus Marsh Grammar School,37 South Maddingley Rd,MADDINGLEY,3340,VIC,BallaratYMCA.OSHC@ymca.org.au,353664800,PO Box 321,BALLARAT,Meeting NQS
SE-40012517,Broadmeadows Early Learning Centre,PR-00003146,Kidz Paradise Day Care Centre Pty Limited,Private for profit,VIC,Centre-Based Care,2019/1/15,393 Camp Rd,,BROADMEADOWS,3047,VIC,info@broadmeadowselc.com.au,391919580,393 Camp Rd,BROADMEADOWS,Working Towards NQS
SE-40012589,KIN OSH Program,PR-40003765,Kin Early Education PTY LTD ATF Gloury Trust,Private for profit,VIC,Centre-Based Care,2018/5/25,35 Symonds St,,YARRA GLEN,3775,VIC,admin@kinearlyeducation.com.au,,239 Steuarts Rd,GLENBURN,Meeting NQS
SE-40012606,Yarram Early Learning,PR-40003562,Yarram Early Learning Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/4/19,Yarram Primary School,2-14 Wesley St,YARRAM,3971,VIC,yarramelc@gmail.com,351825190,156 Grant St,YARRAM,Meeting NQS
SE-40012608,Nido Early School Montrose,PR-40000153,Think Childcare Services Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/6/20,12 Leith Rd,,MONTROSE,3765,VIC,deewr@thinkchildcare.com.au,390688179,PO Box 465,DRUMMOYNE,Working Towards NQS
SE-40012660,Brighton Grammar Vacation Care OSHCLUB,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2018/6/14,Brighton Grammar School,90 Outer Cres,BRIGHTON,3186,VIC,jagvicsa@junioradventuresgroup.com.au,401143440,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-40012662,After The Bell Aus- Wangaratta PS,PR-40005656,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,Private for profit,VIC,Centre-Based Care,2018/4/13,Wangaratta Primary School,19 Chisholm St,WANGARATTA,3677,VIC,admin@afterthebell.com.au,397586744,PO Box 7082,UPPER FERNTREE GULLY,Working Towards NQS
SE-40012725,Bluebird Early Education Armstrong Creek,PR-40019791,Evolve Early Education Pty Ltd,Private for profit,VIC,Centre-Based Care,2019/1/22,69-71 Central Boulevard,,ARMSTRONG CREEK,3217,VIC,kparata@oxanda.edu.au,352641722,PO Box 612,MERMAID BEACH,Meeting NQS
SE-40012760,Kids House Early Learning Clyde North,PR-40017112,Kids House Early Learning Pty Ltd,Private for profit,VIC,Centre-Based Care,2019/1/17,1-3 Selandra Boulevard,,CLYDE NORTH,3978,VIC,clydenorth@shel.edu.au,359990697,57 Old Cleveland Rd,STONES CORNER,Meeting NQS
SE-40012840,Journey Early Learning Centre - Burwood,PR-40018473,Burwood ELC Pty Ltd ATF Burwood ELC Unit Trust,Private for profit,VIC,Centre-Based Care,2018/8/16,3-5 Starling Street,,BURWOOD,3125,VIC,burwood@journey.edu.au,390050925,PO Box 6251,NORTH RYDE,Meeting NQS
SE-40012843,Our Lady of Good Counsel OSHC - Extend,PR-00002530,Extend (Australia) Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/5/11,12 Whitehorse Road,,DEEPDENE,3103,VIC,enquiries@extend.com.au,1300366437,30-32 Hull St,RICHMOND,Meeting NQS
SE-40012882,Youth Leadership Victoria-St Paul OSHC,PR-00002783,Youth Leadership Victoria Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/6/20,59 Moores Road,,MONBULK,3793,VIC,rita@ylv.com.au,387906511,PO Box 1144,DANDENONG,Working Towards NQS
SE-40012902,Little Saints Early Learning Centre - Traralgon,PR-00002454,Davmat Investments Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/9/19,94 Park Lane,,TRARALGON,3844,VIC,info@traralgon.littlesaintselc.com.au,351729855,15A Meeking Drive,PAKENHAM,Meeting NQS
SE-40012910,Nido Early School Bayswater North,PR-40000153,Think Childcare Services Pty Ltd,Private for profit,VIC,Centre-Based Care,2019/1/10,187 Canterbury Rd,,BAYSWATER NORTH,3153,VIC,deewr@thinkchildcare.com.au,385939436,PO Box 465,DRUMMOYNE,Meeting NQS
SE-40012933,Nido Early School Craigieburn,PR-40000153,Think Childcare Services Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/9/27,40 Hothlyn Drive,,CRAIGIEBURN,3064,VIC,deewr@thinkchildcare.com.au,390688173,PO Box 465,DRUMMOYNE,Meeting NQS
SE-40012938,Warrnambool City Council OSHC After School Care,PR-00001900,Warrnambool City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2018/6/8,St Josephs Primary School,70 Botanic Rd,WARRNAMBOOL,3280,VIC,rsanderson@warrnambool.vic.gov.au,355594555,PO Box 198,WARRNAMBOOL,Meeting NQS
SE-40012943,St Andrews Christian College Outside School Hours Care,PR-00002970,The Presbyterian School of St Andrew Ltd,Independent schools,VIC,Centre-Based Care,2018/9/4,130 Tyner Rd,,WANTIRNA SOUTH,3152,VIC,dwaterworth@standrews.vic.edu.au,388478399,PO Box 4646,WANTIRNA,Working Towards NQS
SE-40013019,Guardian Childcare & Education Point Cook East,PR-40014810,SLK TRADING UPPER POINT COOK PTY LTD,Private for profit,VIC,Centre-Based Care,2018/8/3,11 Bensonhurst Parade,,POINT COOK,3030,VIC,pointcookeast@guardian.edu.au,390684966,PO Box 20,BONDI JUNCTION,Exceeding NQS
SE-40013023,Professor Lynn Corcoran Early Learning Centre: FROEBEL Parkville,PR-00004595,Froebel Australia Limited,Private not for profit other organisations,VIC,Centre-Based Care,2018/6/27,1g Royal Pde,,PARKVILLE,3052,VIC,parkville@froebel.com.au,391348900,Level 5,SYDNEY,Exceeding NQS
SE-40013083,St Helena Early Learning,PR-40014272,ST HELENA EARLY LEARNING PTY LTD,Private for profit,VIC,Centre-Based Care,2018/8/22,189 St Helena Rd,,GREENSBOROUGH,3088,VIC,emma@ccdo.com.au,385940812,171 Park St,SOUTH MELBOURNE,Meeting NQS
SE-40013112,Guardian Childcare & Education South Melbourne,PR-00000823,Guardian Community Early Learning Centres Pty Ltd,Private for profit,VIC,Centre-Based Care,2019/4/18,97-101 Tope St,,SOUTH MELBOURNE,3205,VIC,southmelbourne@guardian.edu.au,390888400,PO Box 20,Bondi Junction,Meeting NQS
SE-40013139,Clyde North Moroak Crescent YMCA Early Learning Centre.,PR-00001946,Victorian YMCA Community Programming Pty Ltd,Private not for profit other organisations,VIC,Centre-Based Care,2019/1/18,555 Ramlegh Boulevard,,CLYDE NORTH,3978,VIC,moroakcrescent@ymca.org.au,383202600,PO Box 833,PARKVILLE,Meeting NQS
SE-40013153,Bonshaw Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2018/7/12,234 Morgan St,,SEBASTOPOL,3356,VIC,bonshaw.kin@kindergarten.vic.gov.au,353400091,PO Box 2126,BAKERY HILL,Meeting NQS
SE-40013166,TeamKids - Burwood East Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/6/14,Cnr Highbury & Blackburn Roads,,BURWOOD EAST,3151,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-40013213,Community OSHC Services Avondale Heights,PR-00006496,S & S COLEMAN PTY. LTD. ATF S & S Coleman Family Trust,Private for profit,VIC,Centre-Based Care,2018/6/14,11 Clarendon St,,AVONDALE HEIGHTS,3034,VIC,office@communityoshcservices.com,,Vine Street,MOONEE PONDS,Meeting NQS
SE-40013214,Shine Bright Strathfieldsaye Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2019/1/11,40-44 Club Ct,,STRATHFIELDSAYE,3551,VIC,sophie.hay@shinebright.org.au,354395577,10 Merino Ct,EAST BENDIGO,Meeting NQS
SE-40013232,Country  Buddies Wangaratta,PR-40013341,Country Buddies Wangaratta PTY LTD ATF Country Buddies Wangaratta Trust,Private for profit,VIC,Centre-Based Care,2018/12/13,1 Mason Street,,WANGARATTA,3677,VIC,cathy@countrybuddies.com.au,357223258,U 3  8 Ladd Rd,NEW GISBORNE,Meeting NQS
SE-40013234,"Camp Australia - Sacred Heart Primary School, Mildura OSHC",PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2018/7/11,166-168 Twelfth St,,MILDURA,3500,VIC,opsadmin@campaustralia.com.au,452247158,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-40013268,TeamKids - Bayswater South Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2018/6/8,Enfield Drive,,BAYSWATER,3153,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-40013276,Creative Care and Support Services PTY LTD,PR-40014102,CREATIVE CARE AND SUPPORT SERVICES LTD,Other,VIC,Centre-Based Care,2018/12/24,127-143 Circular Dr,,SUNBURY,3429,VIC,creativecareandsupp@gmail.com.au,412185592,PO Box 2054,SUNBURY,Meeting NQS
SE-40013336,CREST Children's Sanctuary (Dandenong),PR-40007021,CREST Children's Sanctuary PTY LTD,Private for profit,VIC,Centre-Based Care,2018/11/19,57 - 59 Stud Road,,DANDENONG,3175,VIC,amanda@crestcs.com.au,9794 6763,57-59 Stud Rd,DANDENONG,Meeting NQS
