Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
"Epping North YMCA Early Learning Centre, Harvest Home YMCA Before and After School Program, Epping North YMCA Holiday Program",Private not for profit other organisations,3076,EPPING NORTH,Childrensservices.vic@ymca.org.au,383710520,Meeting NQS,365 Harvest Home Road EPPING NORTH 3076 VIC,"(-37.622621, 145.0021499)"
Nino Early Learning Adventures - Bundoora,Private for profit,3083,BUNDOORA,melinda@ninoELA.com.au,394216755,Meeting NQS,222 Plenty Road BUNDOORA 3083 VIC,"(-37.6851079, 145.0687044)"
"Clyde North YMCA Early Learning Centre, Wilandra Rise YMCA Before and After School Program, Clyde North YMCA Holiday Program",Private not for profit other organisations,3978,CLYDE NORTH,clydenorth@ymca.org.au,383710530,Working Towards NQS,Heather Grove Primary School 25 Aayana St CLYDE NORTH 3978 VIC,"(-38.1086655, 145.3198631)"
"Mernda Central YMCA Before and After School Program, Mernda Central YMCA Holiday Program",Private not for profit other organisations,3754,MERNDA,Childrensservices.vic@ymca.org.au,383710589,Meeting NQS,70 Breadalbane Avenue MERNDA 3754 VIC,"(-37.6047267, 145.088228)"
"Mernda YMCA Early Learning Centre, Mernda Park YMCA Before and After School Program, Mernda YMCA Holiday Program",Private not for profit other organisations,3754,MERNDA,childrensservices.vic@ymca.org.au,383710570,Working Towards NQS,40 Riverdale Boulevard MERNDA 3754 VIC,"(-37.6145084, 145.0962726)"
"Pakenham YMCA Early Learning Centre, John Henry YMCA Before and After School Program, Pakenham YMCA Holiday Program",Private not for profit other organisations,3810,PAKENHAM,michelle.watson@ymca.org.au,383710540,Working Towards NQS,141 Henry Road PAKENHAM 3810 VIC,"(-38.0774427, 145.4424612)"
"Featherbrook YMCA Before and After School Program, Point Cook South YMCA Holiday Program",Private not for profit other organisations,3030,POINT COOK,featherbrook@ymca.org.au,,Meeting NQS,281 Boardwalk Boulevard POINT COOK 3030 VIC,"(-37.9015651, 144.7274712)"
Beis Efraim College OSHC,Private for profit,3204,ORMOND,joel@becollege.com.au,95308777,Meeting NQS,442-452 North Rd ORMOND 3204 VIC,"(-37.903565, 145.035018)"
Big Childcare - Overnewton Anglican Community College OSHC,Private for profit,3038,TAYLORS LAKES,oacctaylorslakes@bigchildcare.com,386829400,Meeting NQS,Overnewton Anglican College 39-57 Robertsons Road TAYLORS LAKES 3038 VIC,"(-37.6898315, 144.7746699)"
Platypus Junction Mulgrave Pty Ltd,Private for profit,3170,MULGRAVE,mulgrave@platypusjunction.com.au,395605777,Meeting NQS,"Level 3, 5 Nexus Court MULGRAVE 3170 VIC","(-37.9090989, 145.1591637)"
Happy Hubbub,Private for profit,3072,PRESTON,info@happyhubbub.com.au,1300482282,Working Towards NQS,239a Murray Rd PRESTON 3072 VIC,"(-37.738174, 145.0046141)"
Heritage College Early Learning Centre,Independent schools,3809,OFFICER,elcadmin@heritagecollege.com.au,359432900,Meeting NQS,66 Starling Rd OFFICER 3809 VIC,"(-38.0543224, 145.4177452)"
"Bacchus Marsh Grammar, Early Learning Centre, Woodlea",Independent schools,3335,ROCKBANK,woodleaelc@bmg.vic.edu.au,353664999,Exceeding NQS,5 - 7 Quarry Road ROCKBANK 3335 VIC,"(-37.7185126, 144.6578152)"
U Park PS TheirCare,Private for profit,3021,ST ALBANS,universitypark@theircare.com.au,438944654,Meeting NQS,University Park Primary School Lister Street ST ALBANS 3021 VIC,"(-37.7548518, 144.8030857)"
Inspira Kids Early Learning Centre Shepparton,Private for profit,3631,KIALLA,cm.shepparton@inspirakids.com.au,358977167,Meeting NQS,26 Riverview Dr KIALLA 3631 VIC,"(-36.4087572, 145.3902965)"
Future Kids Child Care-West Tarneit,Private for profit,3029,TARNEIT,wtarneit@futurekidschildcare.com.au,03 8578 0322,Working Towards NQS,999 LEAKES ROAD TARNEIT 3029 VIC,"(-37.8307931, 144.6628541)"
Bellbrae Childcare And Kindergarten,Private for profit,3048,MEADOW HEIGHTS,bellbraechildcareandkinder@gmail.com,390773181,Working Towards NQS,19 Bellbrae Court MEADOW HEIGHTS 3048 VIC,"(-37.6577284, 144.9166878)"
Thornhill Drive Kindergarten & Children's Centre,Private not for profit community managed,3038,KEILOR DOWNS,thornhill.dr@kindergarten.vic.gov.au,393569553,Meeting NQS,39 Thornhill Drive KEILOR DOWNS 3038 VIC,"(-37.7282675, 144.8047226)"
St Lawrence OSHClub,Private for profit,3026,DERRIMUT,jagvicsa@junioradventuresgroup.com.au,417154821,Meeting NQS,93a Capesthorne Dr DERRIMUT 3026 VIC,"(-37.7908771, 144.7611176)"
Little Champs,Private for profit,3029,HOPPERS CROSSING,littlechampschildcare@yahoo.com.au,,Exceeding NQS,539 Tarneit Rd HOPPERS CROSSING 3029 VIC,"(-37.86045319999999, 144.6674561)"
CLY OSHC,Independent schools,3182,ST KILDA,shayneey@bcig.com.au,383720700,Meeting NQS,12 Chapel Street ST KILDA 3182 VIC,"(-37.8606704, 144.9922077)"
Bambini Bluff,Private for profit,3188,HAMPTON,megan@bambinielc.com.au,385521200,Meeting NQS,432-436 Bluff Rd HAMPTON 3188 VIC,"(-37.945028, 145.022625)"
Papilio Early Learning Box Hill,Private for profit,3128,BOX HILL,compliance@affinityeducation.com.au,388407140,Meeting NQS,84-86 Carrington Rd BOX HILL 3128 VIC,"(-37.8199281, 145.1196661)"
Big Childcare - Mernda Primary School OSHC,Private for profit,3754,MERNDA,mernda@bigchildcare.com,386829400,Meeting NQS,25 Everton Dr MERNDA 3754 VIC,"(-37.594416, 145.0923131)"
Green Leaves Early Learning Horsham,Private for profit,3400,HORSHAM,horsham@greenleaveselc.com.au,353823059,Working Towards NQS,44 Hillary St HORSHAM 3400 VIC,"(-36.715786, 142.179289)"
Arena Child and Family Centre,Private not for profit community managed,3809,OFFICER,arena@bestchance.org.au,390051430,Meeting NQS,22 Curran Dr OFFICER 3809 VIC,"(-38.0659613, 145.4348676)"
Guardian Childcare & Education Kew East,Private for profit,3102,KEW EAST,KewEast@guardian.edu.au,390884040,Meeting NQS,720 High St KEW EAST 3102 VIC,"(-37.7978542, 145.0548071)"
Darley Early Years Hub,Private not for profit community managed,3340,DARLEY,darley@ecms.org.au,353678605,Meeting NQS,182 Halletts Way DARLEY 3340 VIC,"(-37.653478, 144.4222539)"
Elements Child Care and Early Learning Centre Geelong West,Private for profit,3218,GEELONG WEST,gw@elementschildcare.com.au,352779744,Exceeding NQS,151 Church St GEELONG WEST 3218 VIC,"(-38.1308772, 144.3385959)"
Camp Australia - Strathcona Baptist Girls Junior School OSHC,Private for profit,3126,CANTERBURY,opsadmin@campaustralia.com.au,404465981,Meeting NQS,Strathcona Baptist Girls School Junior Campus 173-181 Prospect Hill Road CANTERBURY 3126 VIC,"(-37.8304675, 145.0786126)"
Creating Futures Children's Programs,State/Territory and Local Government managed,3756,WALLAN,creatingfutures@mitchellshire.vic.gov.au,357831019,Working Towards NQS,Wallan Primary School 42-48 Queen Street WALLAN 3756 VIC,"(-37.4120153, 144.9749949)"
Annadale Community Centre,State/Territory and Local Government managed,3064,MICKLEHAM,kallyp@hume.vic.gov.au,393566742,Meeting NQS,25-27 Ellscott Boulevard MICKLEHAM 3064 VIC,"(-37.5368254, 144.8983493)"
Story House Early Learning Telford Park,Private for profit,3340,DARLEY,telfordpark@shel.edu.au,353671207,Working Towards NQS,269 Halletts Way DARLEY 3340 VIC,"(-37.648772, 144.4304878)"
Fleetwood OSHClub,Private for profit,3805,NARRE WARREN,jagvicsa@junioradventuresgroup.com.au,429996381,Meeting NQS,97 Fleetwood Dr NARRE WARREN 3805 VIC,"(-38.0393438, 145.3170146)"
Barnawartha Out Of School Hours Care,State/Territory government schools,3688,BARNAWARTHA,van.noordennen.lisa.a@edumail.vic.gov.au,260267227,Working Towards NQS,Barnawartha Primary School 11-17 Stanley Street BARNAWARTHA 3688 VIC,"(-36.1013108, 146.6754114)"
Lang Park Early Learning Centre and Kindergarten,Private for profit,3910,LANGWARRIN,info@langparkelc.com.au,397756308,Exceeding NQS,185 Warrandyte Road LANGWARRIN 3910 VIC,"(-38.168879, 145.187638)"
Inverloch Childcare,Private for profit,3996,INVERLOCH,inverlochchildcare@gmail.com,356746694,Meeting NQS,11 Williams Street INVERLOCH 3996 VIC,"(-38.6326757, 145.7294766)"
Story House Early Learning Lara,Private for profit,3212,LARA,lara@shel.edu.au,352828876,Working Towards NQS,31-33 Station Lake Rd LARA 3212 VIC,"(-38.0228238, 144.3999994)"
Story House Early Learning Keilor Downs,Private for profit,3038,KEILOR DOWNS,keilordowns@shel.edu.au,393664380,Meeting NQS,7 Copernicus Way KEILOR DOWNS 3038 VIC,"(-37.72420049999999, 144.8069863)"
Buckle My Shoe Terang PTY LTD,Private for profit,3264,TERANG,bucklemyshoeterang@gmail.com,03 5592 1109,Meeting NQS,The Promenade TERANG 3264 VIC,"(-38.2423654, 142.9172623)"
RMIT City Campus Children's Centre,Private not for profit other organisations,3053,CARLTON,childcare.city@rmit.edu.au,03 9925 8500,Meeting NQS,17-25 Lygon St CARLTON 3053 VIC,"(-37.8063856, 144.9656995)"
Team Holiday - West Melbourne,Private for profit,3006,WEST MELBOURNE,info@teamkids.com.au,1300035000,Meeting NQS,Haileybury - City 383 King Street WEST MELBOURNE 3006 VIC,"(-37.8110948, 144.9529957)"
Lilydale PS OSHC - Extend,Private for profit,3140,LILYDALE,enquiries@extend.com.au,1300366437,Exceeding NQS,Lilydale Primary School 63-65 Castella Street LILYDALE 3140 VIC,"(-37.7533375, 145.353193)"
Camp Australia - Carlton Primary School OSHC,Private for profit,3053,"CARLTON,",opsadmin@campaustralia.com.au,418769495,Working Towards NQS,"Carlton Primary School Cnr Palmerston & Drummond Street CARLTON, 3053 VIC","(None, None)"
Camp Australia - St Robert's Catholic Primary School OSHC,Private for profit,3220,NEWTOWN,opsadmin@campaustralia.com.au,418592789,Working Towards NQS,13 Nicholas St NEWTOWN 3220 VIC,"(-38.1561798, 144.3429753)"
Complete Kids on Barkly,Private for profit,3429,SUNBURY,debryan@completekids.net,03 9740 2111,Meeting NQS,"70 - 72 Barkly Street, SUNBURY 3429 VIC","(-37.5851607, 144.7286963)"
Future Kids Child Care-Williams Landing,Private for profit,3027,WILLIAMS LANDING,wlanding@futurekidschildcare.com.au,03 7001 6968,Working Towards NQS,"L 1, 102 Overton Rd WILLIAMS LANDING 3027 VIC","(-37.866938, 144.7427347)"
Korowa Anglican Girls School OSHC - Extend,Private for profit,3146,GLEN IRIS,enquiries@extend.com.au,1300366437,Meeting NQS,Korowa Anglican Girls School 10-16 Ranfurlie Cres GLEN IRIS 3146 VIC,"(-37.8609969, 145.0540044)"
Leading Leaps PTY LTD,Private for profit,3029,TARNEIT,leadingleapsoshc@gmail.com,397485707,Meeting NQS,83 Wootten Road TARNEIT 3029 VIC,"(-37.85464020000001, 144.6603505)"
Nido Early School Grovedale,Private for profit,3216,GROVEDALE,deewr@thinkchildcare.com.au,352412939,Meeting NQS,134 Bailey St GROVEDALE 3216 VIC,"(-38.1973595, 144.3473633)"
Club House Boot Camp,Private for profit,3844,TRARALGON,admin@clubhousebootcamp.com.au,414861442,Working Towards NQS,St Michaels Primary School 37-57 Church St TRARALGON 3844 VIC,"(-38.1957146, 146.5346836)"
Great Beginnings Notting Hill,Private for profit,3168,NOTTING HILL,nottinghill@greatbeginnings.com.au,395487500,Meeting NQS,680 Blackburn Rd NOTTING HILL 3168 VIC,"(-37.9070675, 145.1424449)"
Journey Early Learning Centre - Bendigo South,Private for profit,3555,KANGAROO FLAT,bendigosouth@journey.edu.au,354471102,Meeting NQS,215 High St KANGAROO FLAT 3555 VIC,"(-36.8024619, 144.2427831)"
Camp Australia - Haileybury City Campus OSHC,Private for profit,3003,WEST MELBOURNE,opsadmin@campaustralia.com.au,418549325,Working Towards NQS,G 383 King St WEST MELBOURNE 3003 VIC,"(-37.8110948, 144.9529957)"
Mandalay Early Learning Centre,Private for profit,3753,BEVERIDGE,office@mandalayelc.net.au,390884191,Meeting NQS,2 Flagstone Lane BEVERIDGE 3753 VIC,"(-37.4713549, 144.9552712)"
Our Lady’s Wangaratta Out of School Hours Care Program,Catholic schools,3677,WANGARATTA,principal@olwangaratta.catholic.edu.au,03 5721 3783,Meeting NQS,52 White Street WANGARATTA 3677 VIC,"(-36.3725197, 146.3214198)"
Stepping Stones - Marist OSHC,Private for profit,3551,MAIDEN GULLY,linda@sharingthecare.com.au,364253499,Meeting NQS,95 Golf Links Rd MAIDEN GULLY 3551 VIC,"(-36.7322895, 144.2222753)"
Mount Pleasant Road OSHClub,Private for profit,3131,NUNAWADING,jagvicsa@junioradventuresgroup.com.au,427144945,Meeting NQS,Mount Pleasant Rd Primary Sch 105-107 Mount Pleasant Rd NUNAWADING 3131 VIC,"(-37.8289756, 145.1808657)"
Youth Leadership Victoria St Bridget's,Private not for profit community managed,3104,GREYTHORN,rita@ylv.com.au,387906511,Working Towards NQS,36 Sweyn St GREYTHORN 3104 VIC,"(-37.7957815, 145.1030778)"
Story House Early Learning Forest Hill,Private for profit,3131,FOREST HILL,foresthill@shel.edu.au,398940747,Meeting NQS,269-271 Canterbury Road FOREST HILL 3131 VIC,"(-37.8341378, 145.16878)"
Mainview Boulevard Kindergarten,Private not for profit community managed,3029,TRUGANINA,truganinaeast@bestchance.org.au,383230210,Meeting NQS,Mainview Bvd TRUGANINA 3029 VIC,"(-37.8410081, 144.7338047)"
Pascoe Vale South School Holiday Program,State/Territory and Local Government managed,3044,PASCOE VALE SOUTH,sgeorge@moreland.vic.gov.au,03 9240 1227,Exceeding NQS,411-429 Reynard Street PASCOE VALE SOUTH 3044 VIC,"(-37.745639, 144.935814)"
AMIGA Montessori Greens Rd Wyndham Vale,Private for profit,3024,WYNDHAM VALE,wyndhamvale@amiga-montessori.com.au,399997984,Meeting NQS,163-173 Greens Rd WYNDHAM VALE 3024 VIC,"(-37.8876248, 144.610497)"
AMIGA Montessori Reservoir,Private for profit,3073,RESERVOIR,reservoir@amiga-montessori.com.au,390886216,Working Towards NQS,117 Edwardes St RESERVOIR 3073 VIC,"(-37.715821, 144.999694)"
The Learning Sanctuary Yarraville,Private for profit,3013,YARRAVILLE,yarraville@thelearningsanctuary.com.au,9689 2637,Meeting NQS,107 Gamon St YARRAVILLE 3013 VIC,"(-37.8118524, 144.8899648)"
The Learning Sanctuary Footscray,Private for profit,3011,FOOTSCRAY,footscray@thelearningsanctuary.com.au,9687 1077,Meeting NQS,398 Barkly St FOOTSCRAY 3011 VIC,"(-37.7982766, 144.8878641)"
Great Beginnings Mt Clear,Private for profit,3350,MOUNT CLEAR,mtclear@greatbeginnings.com.au,353301222,Working Towards NQS,26 Olympic Ave MOUNT CLEAR 3350 VIC,"(-37.6086164, 143.8734047)"
After The Bell Aus- Morwell Central Primary School,Private for profit,3840,MORWELL,admin@afterthebell.com.au,397586744,Meeting NQS,1 McDonald St MORWELL 3840 VIC,"(-38.2377184, 146.4047507)"
Happy Feet ELC,Private for profit,3337,MELTON WEST,melton@happyfeetelc.com.au,397460377,Working Towards NQS,161 Bulmans Rd MELTON WEST 3337 VIC,"(-37.67439299999999, 144.5509763)"
After The Bell Aus- Bayswater Primary School,Private for profit,3153,BAYSWATER,admin@afterthebell.com.au,397586744,Meeting NQS,Bayswater Primary School 2 Birch St BAYSWATER 3153 VIC,"(-37.8428372, 145.259285)"
La Petite Ecole - Inkerman Road,Private for profit,3161,CAULFIELD NORTH,welcome@lapetiteecole.com.au,395048438,Working Towards NQS,710 Inkerman Rd CAULFIELD NORTH 3161 VIC,"(-37.8695162, 145.0266231)"
Youth Leadership Victoria St Pius X,Private not for profit community managed,3081,HEIDELBERG WEST,rita@ylv.com.au,387906511,Working Towards NQS,St Pius X School 431 Waterdale Rd HEIDELBERG WEST 3081 VIC,"(-37.7468374, 145.0465427)"
Youth Leadership Victoria Southern Cross,Private not for profit community managed,3802,ENDEAVOUR HILLS,rita@ylv.com.au,387906511,Working Towards NQS,21 David Collins Dr ENDEAVOUR HILLS 3802 VIC,"(-37.988902, 145.264418)"
Buckets Early Learning Centre,Private for profit,3204,BENTLEIGH,mckinnon@bucketselc.com.au,395765566,Meeting NQS,188 Tucker Rd BENTLEIGH 3204 VIC,"(-37.9166773, 145.0517467)"
Belgrave South OSHClub,Private for profit,3160,BELGRAVE SOUTH,jagvicsa@junioradventuresgroup.com.au,437388256,Meeting NQS,175 Colby Dr BELGRAVE SOUTH 3160 VIC,"(-37.930325, 145.358926)"
Hilton Street Preschool,State/Territory and Local Government managed,3064,CRAIGIEBURN,kallyp@hume.vic.gov.au,393081562,Exceeding NQS,20 Hilton St CRAIGIEBURN 3064 VIC,"(-37.5947545, 144.9394642)"
Niño Early Learning Adventures - Malvern East,Private for profit,3145,MALVERN EAST,melinda@ninoELA.com.au,03 9086 4800,Working Towards NQS,11-15 Chadstone Rd MALVERN EAST 3145 VIC,"(-37.885705, 145.078213)"
LA GRANDE RECRE,Private for profit,3189,MOORABBIN,LAGRANDERECREDEMELBOURNE@YAHOO.COM.AU,490488411,Working Towards NQS,1003 Nepean Hwy MOORABBIN 3189 VIC,"(-37.9359429, 145.0374305)"
Ararat Early Learning Centre,Private for profit,3377,ARARAT,araratccc@outlook.com,353522892,Working Towards NQS,89-91 Moore St ARARAT 3377 VIC,"(-37.2856913, 142.9407758)"
Leap Ahead Learning,Private for profit,3094,MONTMORENCY,keryn@leapaheadlearning.com.au,407324901,Exceeding NQS,16 Mountain View Road MONTMORENCY 3094 VIC,"(-37.716918, 145.124204)"
Camp Australia - Lalor North Primary School OSHC,Private for profit,3075,LALOR,opsadmin@campaustralia.com.au,418724954,Meeting NQS,Lalor North Primary School 2 Derna Cres LALOR 3075 VIC,"(-37.6639416, 145.0289438)"
Kurrambee Myaring Community Centre,State/Territory and Local Government managed,3228,TORQUAY,kmcc@surfcoast.vic.gov.au,352610573,Exceeding NQS,12 Merrijig Drive TORQUAY 3228 VIC,"(-38.3080095, 144.3226447)"
Melton Montessori Early Learning Centre,Private not for profit community managed,3337,MELTON WEST,aminamoha990207@gmail.com,387980010,Working Towards NQS,21 Weeks Avenue MELTON WEST 3337 VIC,"(-37.6668944, 144.5412101)"
Bluebird Early Education Casey Fields,Private for profit,3977,CRANBOURNE EAST,caseyfields@bluebirdelc.com,359955101,Meeting NQS,85S Elmslie Drive CRANBOURNE EAST 3977 VIC,"(-38.1197953, 145.298388)"
Nhill Early Learning Centre,Private not for profit community managed,3418,NHILL,kimberley@hdka.com.au,390249100,Meeting NQS,2 /20 Whitehead Ave NHILL 3418 VIC,"(-36.3318576, 141.6560964)"
Amiga Montessori Alamanda,Private for profit,3030,POINT COOK,alamanda@amiga-montessori.com.au,390884186,Meeting NQS,"SOHO Village, Sneydes Road POINT COOK 3030 VIC","(-37.8992689, 144.7396029)"
Guardian Childcare & Education Mulgrave East,Private for profit,3170,MULGRAVE,MulgraveEast@guardian.edu.au,381038333,Meeting NQS,211 Wellington Road MULGRAVE 3170 VIC,"(-37.9168005, 145.1510351)"
CRANBOURNE ONE EARLY EDUCATION GROUP,Private for profit,3977,CRANBOURNE,director.cranbourne@onelearn.com.au,390881889,Meeting NQS,2-20 Elmslie Drive CRANBOURNE 3977 VIC,"(-38.1194248, 145.3056781)"
Little Groms Early Learning,Private for profit,3228,TORQUAY,admin@littlegromsearlylearning.com.au,03 5261 6640,Exceeding NQS,88 Geelong Rd TORQUAY 3228 VIC,"(-38.3292776, 144.31733)"
St Raphael's PS Preston TheirCare,Private for profit,3072,PRESTON WEST,straphaelspreston@theircare.com.au,1300105343,Meeting NQS,Cooper Street PRESTON WEST 3072 VIC,"(-37.73511209999999, 144.9951007)"
Kelly Club OSHC St Thomas Aquinas Primary School,Private for profit,3214,NORLANE,jeff@kellycluboshc.com.au,,Working Towards NQS,51-59 Plume St NORLANE 3214 VIC,"(-38.0899428, 144.3593344)"
Shine Early Learning Centre Brooklyn Pty Ltd,Private for profit,3012,BROOKLYN,info@shinepreschool.com.au,9315 1191,Meeting NQS,565 Geelong Rd BROOKLYN 3012 VIC,"(-37.8174015, 144.8484559)"
Platypus Junction Croydon Pty Ltd,Private for profit,3136,CROYDON,croydon@platypusjunction.com.au,383931780,Meeting NQS,20 - 22 Croydon Road CROYDON 3136 VIC,"(-37.7929788, 145.2821077)"
Mt Martha Kinder@Flinders,Independent schools,3934,MOUNT MARTHA,DLALKinder@flinders.vic.edu.au,419875645,Exceeding NQS,370 Craigie Rd MOUNT MARTHA 3934 VIC,"(-38.2652754, 145.0697186)"
3C Kidz Care - Waverley NWS,Private not for profit community managed,3805,NARRE WARREN SOUTH,3ckidzcare@caseycc.org.au,387903921,Meeting NQS,20 College Dr NARRE WARREN SOUTH 3805 VIC,"(-38.0492984, 145.2997521)"
Pj's Early Learning Centre & Kindergarten,Private for profit,3880,PAYNESVILLE,pjs.elc@kidznco.com.au,351526322,Working Towards NQS,82-86 Ashley Street PAYNESVILLE 3880 VIC,"(-37.9100692, 147.7118418)"
Altona Early Education Centre,Private for profit,3018,ALTONA,manager@altonachildcare.com.au,393985229,Meeting NQS,40 Sargood St ALTONA 3018 VIC,"(-37.8657752, 144.8297058)"
Green Leaves Early Learning Knox,Private for profit,3152,WANTIRNA SOUTH,knox@greenleaveselc.com.au,398872193,Meeting NQS,Shop 2066  425 Burwood Hwy WANTIRNA SOUTH 3152 VIC,"(-37.8684604, 145.2400255)"
Green Leaves Early Learning Craigieburn,Private for profit,3064,CRAIGIEBURN,craigieburn@greenleaveselc.com.au,393334341,Meeting NQS,18-40 Accolade Drive CRAIGIEBURN 3064 VIC,"(-37.5923332, 144.893968)"
Green Leaves Early Learning Richmond,Private for profit,3121,RICHMOND,richmond@greenleaveselc.com.au,394283113,Working Towards NQS,556 Swan St RICHMOND 3121 VIC,"(-37.827452, 145.011972)"
Little Grasshoppers Early Learning Centre,Private for profit,3933,MOOROODUC,info@littlegrasshoppers.com.au,359780808,Meeting NQS,"1, 475 Moorooduc Hwy MOOROODUC 3933 VIC","(-38.2145318, 145.1101691)"
Starfish Early Learning Centre Clayton South,Private for profit,3169,CLAYTON SOUTH,clayton@starfishelc.com.au,9562 7882,Meeting NQS,48 Kallay Street CLAYTON SOUTH 3169 VIC,"(-37.9373111, 145.1130182)"
Country Way Early Learning,Private for profit,3500,MILDURA,admin@countrywayearlylearning.com.au,350238492,Working Towards NQS,274-284 Twelfth Street MILDURA 3500 VIC,"(-34.1795256, 142.1422196)"
KOOL KIDZ RAVENHALL,Private for profit,3023,RAVENHALL,mvr213@gmail.com,393605409,Working Towards NQS,3 NEXUS STREET RAVENHALL 3023 VIC,"(-37.7745018, 144.7548495)"
"Torquay YMCA Early Learning Centre, Torquay Coast YMCA Before and After School Program, Torquay YMCA Holiday Program",Private not for profit other organisations,3228,TORQUAY,torquay@ymca.org.au,383710500,Meeting NQS,35 Legacy Drive TORQUAY 3228 VIC,"(-38.3053798, 144.3366194)"
Bambini Centre Road,Private for profit,3187,BRIGHTON EAST,megan@bambinielc.com.au,395397400,Meeting NQS,125-127 Centre Rd BRIGHTON EAST 3187 VIC,"(-37.9160746, 145.0211983)"
First Early Learning Frankston South,Private for profit,3199,FRANKSTON SOUTH,frankstonsth@firstearlylearning.vic.edu.au,397833390,Meeting NQS,124 Frankston-Flinders Rd FRANKSTON SOUTH 3199 VIC,"(-38.1638181, 145.1359021)"
Bannockburn YMCA Before & After School Program & Bannockburn YMCA Holiday Program,Private not for profit other organisations,3331,BANNOCKBURN,bannockburnoshc@ymca.org.au,437231376,Meeting NQS,139 Milton Street BANNOCKBURN 3331 VIC,"(-38.0413421, 144.162101)"
Armstrong Creek YMCA Before & After School Program & Armstrong Creek YMCA Holiday Program,Private not for profit other organisations,3217,ARMSTRONG CREEK,armstrongcreek@ymca.org.au,,Meeting NQS,100 Central Boulevard ARMSTRONG CREEK 3217 VIC,"(-38.2321281, 144.3670089)"
Montessori Beginnings,Private for profit,3028,LAVERTON,laverton@mbegin.com.au,03 9088 6228,Meeting NQS,1-19 Thomas St LAVERTON 3028 VIC,"(-37.8604525, 144.7719112)"
St Catherine's OSHClub Moorabbin,Private for profit,3189,MOORABBIN,jagvicsa@junioradventuresgroup.com.au,478033550,Meeting NQS,St Catherines Primary School 14-28 Fletcher St MOORABBIN 3189 VIC,"(-37.9381816, 145.0524661)"
Tooradin Primary School  OSHC,State/Territory government schools,3980,TOORADIN,Tooradin.ps@edumail.vic.gov.au,359983321,Working Towards NQS,Bayview Rd TOORADIN 3980 VIC,"(-38.2071253, 145.3769892)"
Busy Bees at Wyndham Vale,Private for profit,3024,WYNDHAM VALE,compliance@busybees.edu.au,387549730,Meeting NQS,351 McGrath Rd WYNDHAM VALE 3024 VIC,"(-37.886192, 144.631413)"
Busy Bees at Williams Landing,Private for profit,3027,WILLIAMS LANDING,compliance@busybees.edu.au,393609978,Meeting NQS,141-143 Sayers Rd WILLIAMS LANDING 3027 VIC,"(-37.8533733, 144.7331722)"
Busy Bees at Sandringham,Private for profit,3191,SANDRINGHAM,compliance@busybees.edu.au,395334264,Meeting NQS,18-20 George St SANDRINGHAM 3191 VIC,"(-37.961405, 145.028708)"
KingKids Rowville,Private for profit,3178,ROWVILLE,jo@kingkids.com.au,,Meeting NQS,1165 Stud Rd ROWVILLE 3178 VIC,"(-37.9264863, 145.2342502)"
Team Holiday - Edithvale,Private for profit,3196,EDITHVALE,info@teamkids.com.au,1300035000,Meeting NQS,42 Edithvale Road EDITHVALE 3196 VIC,"(-38.0373299, 145.11326)"
Orchard Road Community and Early Learning Centre,Private not for profit community managed,3752,DOREEN,orchardroad@ymca.org.au,1300153332,Meeting NQS,120 Orchard Road DOREEN 3752 VIC,"(-37.6154975, 145.125935)"
Team Holiday - Doncaster East,Private for profit,3109,DONCASTER EAST,info@teamkids.com.au,1300035000,Meeting NQS,2 Cassowary Street DONCASTER EAST 3109 VIC,"(-37.796566, 145.1596124)"
Connect Kids Early Learning Centre and Kindergarten,Private for profit,3764,KILMORE,connectkidskilmore@gmail.com,03 5782 2231,Meeting NQS,37 Clarke Street KILMORE 3764 VIC,"(-37.2875516, 144.9543126)"
Smart Children Early Learning Centre,Private for profit,3171,SPRINGVALE,SmartChildrenELC@gmail.com,,Meeting NQS,15 Burden Street SPRINGVALE 3171 VIC,"(-37.9406753, 145.1457743)"
Keilor Heights Early Learning Centre,Private for profit,3033,KEILOR EAST,director@keilorheightselc.com.au,393317507,Working Towards NQS,41 - 43 Henry Street KEILOR EAST 3033 VIC,"(-37.7369707, 144.8651782)"
Bilingual Montessori Early Learning,Private for profit,3136,CROYDON HILLS,admin@bmel.com.au,455328828,Working Towards NQS,86 Croydon Hills Dr CROYDON HILLS 3136 VIC,"(-37.7735282, 145.2707483)"
Village Early Education Ararat,Private for profit,3377,ARARAT,emily@villageeducation.com.au,353521473,Working Towards NQS,17-19 Wilson Street ARARAT 3377 VIC,"(-37.278808, 142.939278)"
Aspire Early Education Pakenham,Private for profit,3810,PAKENHAM,kristy@aspireearlyeducation.vic.edu.au,359222005,Meeting NQS,75 Station Street PAKENHAM 3810 VIC,"(-38.0792657, 145.4840164)"
Aspire Early Education Cranbourne West,Private for profit,3977,CRANBOURNE WEST,cranbournewest@aspireearlyeducation.vic.edu.au,03 5923 3008,Meeting NQS,82s Quarters Boulevard CRANBOURNE WEST 3977 VIC,"(-38.097145, 145.2460194)"
Aspire Early Education Berwick Waters,Private for profit,3977,CRANBOURNE NORTH,berwickwaters@aspireearlyeducation.vic.edu.au,397026396,Meeting NQS,70S Waterways Drive CRANBOURNE NORTH 3977 VIC,"(-38.0861391, 145.3311198)"
